http://www.deptofnumbers.com/income/michigan/ann-arbor/
Date	US	Michigan	Ann Arbor
2015	$55,775	$51,084	$61,977
2014	$53,719	$49,905	$62,918
2013	$53,166	$49,120	$60,706
2012	$53,031	$48,374	$58,151
2011	$53,223	$48,459	$59,662
2010	$54,405	$49,369	$60,747
2009	$55,478	$49,993	$60,319
2008	$57,276	$53,491	$63,682
2007	$58,003	$54,813	$69,787
2006	$56,957	$55,465	$66,792
2005	$56,122	$55,876	$64,925
